,최근성_R,빈도_F,총금액_M,RFM_SCORE
12346,0.12868860239308982,0.0001252818842395389,0.015109171244357135,E
12347,0.9949785686501134,0.02267602104735654,0.0302971720893879,E
12348,0.799036659426723,0.0037584565271861674,0.02144246187979173,E
12349,0.9514253755371797,0.009020295665246801,0.02130259836388934,E
12350,0.1695300736836424,0.0020045101478326226,0.016287562771637478,E
12352,0.9037161942091618,0.011776497118516659,0.020555038619280337,E
12353,0.45381604587406976,0.00037584565271861676,0.015422798175959858,E
12354,0.37826006845376026,0.007141067401653718,0.018912866862019827,E
12355,0.4265722682240921,0.001503382610874467,0.016728050035124453,E
12356,0.9405729047435589,0.007266349285893257,0.025016364101838533,E
12357,0.9119239452295473,0.01628664495114006,0.03698436781179846,E
12358,0.9970519098375757,0.002255073916311701,0.01922529566826587,E
12359,0.981073782284286,0.03169631671260334,0.037117782594163394,E
12360,0.8609186353171523,0.01603608118266098,0.024489999441462143,E
12361,0.23093000705382682,0.0011275369581558504,0.015778359495046544,E
12362,0.9922761526678913,0.034201954397394124,0.03327338595335451,E
12363,0.707588168182588,0.002756201453269856,0.0170543629999156,E
12364,0.9809639733704077,0.010523678276121268,0.019736401849835068,E
12365,0.2202338743748802,0.002756201453269856,0.01623925012857823,E
12367,0.9897226301282159,0.001252818842395389,0.01570435763478073,E
12370,0.8635410210740058,0.020796792783763462,0.027603821526542085,E
12371,0.8817897736261323,0.007767476822851413,0.02176214991614003,E
12372,0.8096434560401415,0.006389376096216485,0.019683331944330158,E
12373,0.16653173198435875,0.0016286644951140057,0.016393984494495934,E
12374,0.9333087659153133,0.004009020295665245,0.01772718086565614,E
12375,0.9944853591216776,0.0021297920320721615,0.016714024920655025,E
12377,0.15609988516593243,0.009521423202204959,0.020846500231784394,E
12378,0.6540163075542949,0.02731145076421948,0.029235139677630268,E
12379,0.7826137127138248,0.005011275369581556,0.018105506566519828,E
12380,0.9435638017707153,0.013029315960912046,0.024696147480774044,E
12381,0.9892685051284485,0.011275369581558501,0.021466142475076784,E
12383,0.5063289018922494,0.012402906539714353,0.021590712273190902,E
12384,0.9244905517804864,0.0036331746429466285,0.017104261397123406,E
12386,0.09678818232746507,0.0011275369581558504,0.016525425893920444,E
12388,0.9597615471517615,0.012402906539714353,0.024907933757058583,E
